Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Djibouti,"Egypt, Arab Rep.",Equatorial Guinea,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Libya,Madagascar,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Rwanda,Senegal,Seychelles,Sierra Leone,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2000,23.050166016935002,,0.72530488600806,3.0001960092516398,0.262543948165201,0.0550057585302566,0.14563028931271602,2.62651482750102,0.186767826180021,0.234520132685021,0.031027530953313297,2.18550724637681,2.59193385545429,,16.17495963599,,,3.5071684360988202,0.201981399986315,2.4317436169412296,0.73457855620053,0.0512380355874262,2.74277649117351,,12.077549346922002,0.8850967170858639,0.6657000742192449,0.454082403756887,2.84901940063143,10.408859646150999,0.669318463013555,1.59776639997418,0.32146076556952,0.111245044986325,1.06819117972256,0.48622680775390603,0.115313377546753,37.0342031531617,1.95927497593559,1.44586312598847,0.424670348218294,8.53144016523149,0.6596680691606931,0.8614102153627761,2.5528714
2001,20.2725840092694,,0.7284263336695139,2.67111210025337,0.288539801148718,0.0454109712771723,0.16785396918043,2.76698373038158,0.16001688852944,0.25090865489659603,0.0334463095978802,0.8916666666666669,2.16520945540444,,16.900269541779,,,2.72638898112968,0.14999848921009099,2.40407731343492,0.8086149461493699,0.0415878311621061,2.9778962095436703,,9.05358771964618,1.09148691748139,0.912604238364252,0.44589216481045596,3.13667447347955,11.1312434381214,1.0588265706500601,1.46049998251866,0.32949448408489196,0.142951897314601,1.15192925477989,0.546294059863335,0.0854918529594687,35.694800701716005,1.50256557639076,1.8768547210219801,0.42936665271554897,9.447888494786659,0.672714062011288,1.02810189050758,2.3693
2002,20.384692132090198,8.72577977862591,0.82740165641962,2.83677149944246,0.321134577559381,0.0386763709024088,0.201943860652118,2.85424906011522,0.158999418934245,0.253418838156303,0.037638992112245,1.36780083758331,2.47341289342318,,15.595505617977501,,,2.8069221174011103,0.15703358674955697,2.62780240706598,0.781148029848008,0.053471573203836296,3.27351993244574,,9.16929133858268,1.16750445833349,1.09769176709096,0.440241261500872,2.98265135838729,12.213885545776199,1.27762702246651,1.54627487027248,0.331604228731248,0.12151237722071401,1.3744375390149501,0.5690637994333251,0.107151677561357,36.70109907770291,2.06937070888678,2.01794624693547,0.516701878887484,9.43827005492593,0.692819583930111,1.13794588953973,2.019
2003,26.2104354966198,9.67609960987075,0.997331579809427,3.66766954887978,0.437119286678813,0.050072047440468496,0.255073869359581,3.10413599300922,0.208312702529568,0.6756367288997069,0.0483234885654606,2.14505569103305,2.83144151117512,,17.5,,,3.38159459255817,0.151438768633212,3.10491887064991,0.894584048742242,0.0660559552130173,3.5900236384826596,,15.0546875,0.87266037350032,1.2147852547978,0.39227730677109096,3.25769515769328,14.3196080624725,1.5018245316983398,2.1395252373872498,0.450538549208873,0.166283313277101,1.59748803420279,0.6572044415584081,0.19292003986570902,47.1176241273835,2.61656522981921,2.29588851370894,0.694096764968224,10.839779022676701,0.7523077325194519,1.2589944670398099,1.8555713
2004,35.2883822782491,13.74977566502,1.14603865135219,4.44413901851733,0.593230247614684,0.063635537873214,0.29601940214376804,3.86833022542171,0.17810397562981,2.2560481660840996,0.0559944441860397,2.3405678993741,3.7502522715827897,,22.240259740259702,,,4.27666290528425,0.198101350569028,3.49069255526712,0.895267037392523,0.07529344991373581,4.28301081923566,,21.1174455384615,0.9854605482449239,1.29141263985299,0.549736448161367,3.50804372468523,16.759410598784402,2.0934204710499302,2.63032784994581,0.536185487945235,0.24700164256930102,1.9248395482691099,0.6508425272727271,0.238584309481177,58.2153052784397,3.8104834725964998,2.67529012930304,0.752390243873023,13.1589997968633,1.00806726600343,2.08655926342497,2.0011781
2005,47.4979580030151,24.2256515099701,1.2139416969285701,5.2494381144096804,0.60491470478582,0.0692610127928117,0.36728724283617903,4.34005566603028,0.178779525589052,3.1901565022687,0.057775596981712,2.7451531842441503,4.98783932991879,,27.1880199667221,7.1834090230290695,,5.75050148611868,0.204546331808865,3.91631103977093,1.02167958662962,0.0867715626921218,5.34199229323186,,30.1601709741399,1.4249384341814402,1.43623326463956,0.7854805572289161,3.82994669183689,19.2759210482382,2.47145399162611,2.9289650793611,0.631697898739635,0.313566210476234,2.1805193530899,0.754034109090909,0.29004238666550397,68.1719829516578,5.08700564600679,3.12415552629693,0.811362053824834,14.5006331733508,1.31009392647531,2.55044480788619,1.9307969
2006,56.328445411298404,33.2451175387161,1.27021459580969,5.13622226986604,0.717391852668023,0.0929563807267365,0.49987142379225097,5.05597260031033,0.209279918840122,3.5349060764391096,0.061714685823004496,3.13607690738525,6.2531408178915395,,32.1739130434783,8.303800358813449,,6.255613897193499,0.221729529524001,5.1494546539366395,1.00539051552319,0.0658748902295901,5.935978411345721,,43.171291714500605,1.7579839780799602,1.9632842473988499,1.6604937714073,4.10791361075401,22.4835928101639,2.6665276289361,3.63015400984173,0.659728358462508,0.361305981418146,2.25209312177212,0.898472650285559,0.317931442188129,79.3017963836635,6.8325415731651296,3.4288455889144003,0.831810885425079,15.8230686876655,1.52412692950996,4.15783775082568,1.9574166
2007,63.7185030392943,44.3196707205054,1.80069133595807,5.9683905486414295,0.789151147099085,0.0922215601934208,0.556679670900563,6.455516974464389,0.23993392981143902,3.84961351928825,0.0714143864091993,6.5394942707283095,6.0148687644275,,39.4570928196147,11.5843263084361,,7.28997742695595,0.230768306087865,6.08892741837771,1.47945179612378,0.0837540026797694,7.004914019513469,0.895714317143257,49.958301818801004,2.36952128055928,1.9699594168583,1.76122266472591,4.5532849948916905,27.3257935193796,3.0618951429472197,4.406968679937259,0.748906703643474,0.556349850170489,2.87642598196561,0.935575117966411,0.33680279888757303,93.1249126198572,10.0457011060959,4.3350609815270795,0.900322085749922,19.8772708329756,1.99071206828156,4.72189991255465,1.9995831
2008,82.34014319602119,64.16842301891501,2.16707492186083,5.03779211461554,0.959257099036903,0.169242769206768,0.6729426224942859,7.4854068506688805,0.21934792019447402,4.43759591918961,0.0752795146975637,7.72302214157319,8.55133553676063,,53.8,17.621714169082,,9.68533382646034,0.226068893109563,7.17829398208643,1.50708073053399,0.112096348888004,8.13888772437561,0.935018108093681,64.2662979072577,2.9716352950050604,2.4737867681048002,2.1660262809928,5.10212724649822,33.0641618254718,3.53323075168138,4.61818271826725,0.961860898124895,0.58391225324299,3.51343345235253,0.9613319230562231,0.33871773242797704,101.96710583893,13.1387041584795,5.43993481732002,1.12777290663971,24.965547802120202,3.50615067838066,5.17970563579571,1.8310528
2009,48.9824022236056,41.310610391388494,1.94071026292026,3.6258144702089803,1.30315383806675,0.117576044108053,0.537877758069559,5.46995024891088,0.203464465630003,3.26460890183446,0.0843048147745311,5.00033504648877,6.2695752392012505,,47.205081669691495,11.1719950367048,,6.31992663546137,0.22834099868261098,7.63015615313385,1.51236418792795,0.0990606185874728,7.95066708035991,0.7792825402534961,38.4534444219303,1.9595189839616398,2.2216980908108503,1.7559863912156501,4.35237391973667,26.0141986570851,3.4318573676426203,4.6091534022776495,1.10119124502407,0.5883004244552831,3.13130799577437,0.89673891288279,0.331270804719921,82.38162100642529,7.51302896153846,5.34921850830742,1.18756471382761,19.572383403380798,4.677180750951609,4.483693050078281,1.8826547
