Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Djibouti,"Egypt, Arab Rep.",Equatorial Guinea,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Libya,Madagascar,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Rwanda,Senegal,Seychelles,Sierra Leone,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2000,42.0697177213416,,20.6053025489554,51.8318100701299,8.8447174852677,6.3189705942566,27.0072185431265,24.8568127317047,20.3722135905975,16.8900964319303,8.83631405886599,11.4496120313427,80.297147219193,,16.2011173184358,,,69.0321767086082,25.7986743189831,48.8022576190038,16.8193583183757,13.0927844637276,21.5875711417625,,31.558004285277,19.1196684495627,22.4785904568103,25.5171157140843,60.2825628484701,24.1968278897887,11.2856851913847,40.736150559887,14.3397037015635,5.37717849178342,17.7641495981977,74.3224695850101,18.1348435554968,24.4043033106919,15.9845570577283,10.8128051973219,20.1566604038007,39.7300345865581,10.651409293254,23.9238608307712,38.1597545550961
2001,34.1212313958018,,19.8685788115524,48.6576082380348,9.0440827674193,5.17920216470328,29.80941288281,25.2612172490423,17.1572538375263,14.6657875448771,8.83626079762981,11.987684833486,77.4200268515354,,17.4797881237803,,,54.2752324798833,21.8207981338634,45.2330164667316,19.6002796228163,10.0791893849037,22.9315763643367,,26.5406976744186,20.070249419803,26.3124370675839,25.536995080516,67.0837948469199,25.3955453600676,18.7397822798285,41.0559430255954,13.4558135151968,7.26898430311878,17.7006801043602,82.5137647126717,5.08434061716529,26.3566606345688,9.5605178619468,13.837039970742,20.5095258930009,42.8168233248494,11.5180826373161,25.109699098695,34.9589126909086
2002,33.1371640975005,57.0849959046266,19.726610778332,52.1574267782427,8.86536563219181,4.68580418118256,32.5449567130458,22.9861583659013,15.96270493648,12.6899405964434,8.83617675060801,15.6713428067886,81.5164254833959,,18.3161784111903,,,52.6088996947807,27.1573845831505,42.6162518930867,18.1594392886496,11.4555665661405,24.8979726147002,,44.7677994771644,21.8155744053565,28.0874538136608,24.7736084028423,60.7898676078676,25.9443798115524,21.4699466720227,46.1689000685777,11.9188080478994,6.18067969706938,19.6168800518197,76.6793001313966,5.5408071957007,28.4311672176802,11.4095829536873,14.2816416273557,21.4381414951577,40.7848345956986,11.2132791661446,27.1336783308698,31.834798869349
2003,35.6690635287432,54.3213388113835,18.6442972500831,48.8268578340104,9.22043165840572,6.38141402548028,31.3643511669509,19.4369114585916,18.2360038377682,24.6329669069481,8.83612987853843,24.0004430362555,80.8123655970076,,21.7964071856287,,,51.9294344950898,31.0937864451292,40.67904265112,17.8020725505263,11.9317538468321,24.086815305421,,57.3170731707317,13.6941628175957,25.7693403925944,19.1247721754728,55.2631863215924,24.676486583266,22.8118539424611,43.4294440838332,13.2742280973529,7.77665392566841,18.2180266837333,87.528383299959,9.00393856342768,23.9152733614034,12.2525341182648,15.0931227613293,23.2296007315538,39.4835638279828,11.3867248339712,25.6839640308427,32.3970590920952
2004,38.3929594593676,58.3803583199793,18.5135475659125,49.6137877815052,10.8815873012951,6.95274828690709,32.004173065871,20.5475737052101,13.997917508823,51.0088580567156,8.83602717918231,22.7295135131027,80.5297928332926,,28.2299608489594,,,55.0391552768837,20.5947828682591,39.3033251214107,16.8893836527306,12.9332446603251,26.6102585752973,,63.7559608908707,19.4573064554058,23.6771847065241,23.2692575686957,52.6147202557885,25.3492055058078,26.3746134140712,39.797940206821,14.2585696095611,10.3935220427215,19.10166287579,72.881704642054,10.6636961923979,22.7575187856654,14.300391937677,16.0455833088341,23.5743613846765,42.198076650746,12.6968807487592,33.5399822510719,34.469799013311
2005,44.371282898314,65.5262677696291,18.483639980467,52.9235535447696,9.84184747809064,6.20000016552948,37.7773604608664,22.2454563981154,13.3627533256972,47.977274188704,8.83628108091383,22.9441827774461,75.0050837514178,,30.3435468895079,87.4173831312055,,60.0086727573886,19.9032907784291,36.449216950714,23.8572578868436,13.5628027893561,28.5090302142012,,63.7168431505522,24.3193861068762,22.9888693418902,26.7532470536875,58.2403213454801,27.9958996339897,27.8677637269046,40.4085763351911,14.411416011146,10.6879847934518,19.8066375707013,77.107535101306,11.3953247112055,23.5997644915436,14.458821843369,16.9833670564514,25.1826385889901,44.9322920398366,14.1796999798574,30.6107123143813,33.5486481895586
2006,45.7641342682087,63.4678635039226,18.057925712964,51.7808267603935,10.9568635027021,7.3,45.1322052608015,24.1790940584351,14.3160051485309,47.5844412158485,8.83617933267314,21.7000985286877,77.4641294571561,,29.9498138254816,82.3256504465367,,60.5718165208079,21.0347123388331,24.6561904908957,23.8243077612749,10.3775627660013,22.9849396441861,,71.8393272703549,27.4869137812158,28.4289450992381,42.3641033273967,58.4439359267735,29.6289667970785,28.0396818491761,45.3668335484121,13.8704426231817,10.8834165953429,19.252084644369,83.0810386236547,10.9142793443273,26.098249881712,15.0949253001601,18.4149914479089,25.0476964469213,46.0285163540679,15.2754133833713,32.5929586871888,35.9561685274509
2007,44.720155665402,67.9057833724671,22.0428531154363,56.479962927168,10.3485422167992,6.80000013631119,33.7458980966483,26.9786418047148,14.1153274204234,44.5034938577556,8.97534196697091,39.0719137879801,68.4853907202658,,30.249731471536,88.621293972478,,58.528604586134,18.0329574603162,24.5250906044049,23.5509559790242,11.1203023648924,21.9189912933699,53.2487600192534,73.4324778961951,27.7962071422596,24.1521111507005,40.5231617982886,55.8674978743079,31.4277738089785,28.3208398689763,49.8552010266907,13.0665385476229,13.6678238827712,20.5543882272223,86.8437263258592,10.1237642537445,27.958964394702,16.9005341241689,19.8306255869655,23.9449595756177,51.0782219815701,16.7250685273524,33.5911932050133,37.7853732974542
2008,45.6471818058054,72.4750287994632,22.14072026628,46.946904660995,10.1493270523848,10.5000002616241,34.3404537542843,27.0083654696037,11.0036647020449,42.694505409321,8.22134722875202,39.0277992626484,73.4029185288145,,33.0429927414852,89.2243501802952,,62.1997120113374,14.4752001750388,25.0294572995074,21.6404621100198,11.7665758206639,22.6740575532267,52.9184829037571,74.1157065299352,27.7071993998824,25.1441899954037,41.6028504784511,51.0705214350546,32.4722234084439,27.3462655617765,53.6534356342124,13.1805095968022,11.2727549070714,20.8463012615706,98.1354103896525,8.83088431386948,32.2546736710677,20.2654316259622,19.4646113550857,24.630048830491,55.6528299429018,24.2801423442251,28.9193597052566,41.4668487199818
2009,32.5860062711518,58.7573002977584,19.9279668393882,35.8336618587618,13.7889708614234,6.60000027378395,29.037829627441,19.5824152849101,9.84164990187971,35.1383528798525,9.31193867197775,26.8137878104525,64.479912106445,,24.9568221070812,74.342209937853,,52.1717321839785,15.7461075261153,29.2918659785048,22.5157883196876,11.128308041919,18.7749454916013,44.7633289777901,63.2368915429987,20.3758298355971,21.7133136937268,37.2457483029123,47.6771685929338,25.7171775388093,27.9834214693156,51.5631748119652,14.977850620897,10.367482812293,19.3938665528849,105.386908585995,8.75413004978441,24.9827464883237,14.5541979940253,18.1942658314265,25.1501938295669,45.039811033928,18.6135663082242,29.2509976693348,19.4774980342276
