Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Djibouti,"Egypt, Arab Rep.",Equatorial Guinea,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Libya,Madagascar,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Rwanda,Senegal,Seychelles,Sierra Leone,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2000,20.7886259146931,,26.742848952329,40.0929196197881,26.2782244851586,16.234753894772,60.5133898183652,23.0711315143103,25.2875684031294,34.6810755816349,26.9211644879301,15.5647908914142,43.6127371864776,,22.8168185827698,,,32.6697522310293,30.5611455661123,67.2461725439646,19.8603371729124,39.6445616542869,31.7214732444648,,13.7230894806652,23.6574542144097,32.943984975458,33.4232590529824,60.4050859251757,29.2434779490897,36.6351956102043,44.3960937348397,20.3730770027969,22.1076853332611,30.9159401250653,76.9799782501566,39.3951193404254,21.8164184247158,13.4196774022208,13.1763099576589,28.6513437076176,42.9090760836329,22.0976240451282,36.4636081577253,35.9076565746844
2001,20.4084177219191,,28.3885918276674,38.8674573300609,22.6140880474318,15.784843450019,62.3543096146052,26.3110519399942,22.5732458997066,49.6561204958082,26.9209680832644,13.0542526803531,53.3124542303374,,22.330638416504,,,29.3633807625275,25.1084650526988,64.8128376940797,20.5875985166216,37.5040278925575,33.0152596643276,,16.6327519379845,20.9648766725829,33.888365950417,35.1642173799555,60.9707841332703,28.0960256587196,31.675527297898,47.528158812429,19.5578535691046,21.9299251345738,32.0198979604711,97.3711501648011,17.8890039336567,22.8142845512603,10.7328277603943,14.1931032575113,30.8846261720298,46.7353778696167,23.8118941446563,39.558583610284,32.9389594779827
2002,23.452441183911,48.2167466955221,24.0418117580991,39.6783472803347,22.4471572206048,16.988025225784,68.5447455805704,25.495564362059,20.1458598429982,113.660867253469,26.9209423209685,13.6455028361936,53.9396455888641,,22.6708894167326,,,32.1501818428416,32.4855663356834,54.8729912815685,19.8689639787901,28.2204969889519,30.2746996493051,,34.0919575580501,28.3661175325733,29.7418375585208,32.0119211973383,57.4406027723833,28.3657481026576,51.8392160854003,48.2463228263129,18.9155777018555,21.4287584191479,33.5274194123132,80.2505894259036,19.3366940723303,25.0343344117566,14.2159787676178,13.2175756461348,30.1714237872832,44.5573413735669,25.0645149900385,37.782818668195,34.9725526955008
2003,22.1000717757446,49.5798907399883,22.9719333073503,37.007184681116,21.1478047493266,20.9948980541304,67.4040296407038,20.8062811308613,17.9952221645791,58.7459480529834,26.9208292516807,30.0309131413864,76.0494117383601,,24.3832335329341,,,28.3731737105414,37.765006589094,56.6081030628332,17.2730544386322,26.1017170850596,30.045450590308,,33.2956573468174,20.3364400998793,32.8588013102597,36.193252157771,53.392392991836,27.6553716837263,47.3565060054572,52.5230302978881,20.1085650442709,21.5339703097417,32.6031932096043,81.3158517342573,20.6867856435279,21.8085892075755,14.1876939487906,15.3557130636034,32.1603776857051,42.9067768819332,25.1990016301556,36.6288806449202,38.0549291239645
2004,22.9650381113499,45.1995887314867,21.389426770597,41.3840351057579,24.5993563004511,24.6233698947461,69.5629969236308,21.2901687220456,19.2460374099972,50.7597328648482,26.9210359370075,26.6069011123967,50.8384058840296,,29.5899443643107,,,26.728381864986,29.3395166933091,60.3670092258015,17.7057122683229,30.2588869731209,32.8667447731316,,32.3733711883694,29.3180754298099,31.6344329544929,51.9495471101002,54.4129780117163,30.2024329686458,45.6773867471662,42.0643203848333,22.7055348369284,23.0681510603655,34.5575402517628,76.6592321082362,18.8515945409841,22.8860564383387,16.1319456818282,17.5642034278309,34.2967324862107,44.7272680458823,22.7632054968845,37.2730926807002,41.5698095824196
2005,22.4691773220766,41.0646943598961,20.6122912074473,35.5817985125809,24.3303222900142,28.8999986757642,66.5664793961861,22.7522249497324,21.7081835399254,37.8694708381835,26.921128253126,29.3704219175618,44.5478085109842,,32.6090993500464,43.6070886820041,,23.9409270825355,30.1154326166684,61.7222971639139,24.0804425048731,32.2214287557155,35.9698359497784,,27.1440465349093,34.8106988288915,31.1364564343947,61.4818525059617,63.368422651356,33.4979280523338,44.1414972511937,40.2718039587905,23.9363257959276,23.5285535484134,35.0966059982472,93.9942008534583,18.9995590632889,23.8280169054893,21.4127695588256,19.97590623295,36.271641423858,45.3189558405579,24.8145855040487,31.5895698769828,42.495059090058
2006,20.1511576995534,31.1572958281252,21.7167729998912,34.8316071531305,24.1496788527529,35.1,72.6844919720202,22.9253401219216,22.0798650802068,48.3287874187311,26.9210952316569,26.2631610943496,48.1366335173347,,31.5687226809131,36.2071319224003,,28.077592735444,29.3397562431418,39.8628637530195,45.561985953568,38.3829406200213,32.2515454815442,,25.8987738493833,34.6159251558086,32.547728736082,40.4243978856356,68.618925831202,35.0432309816369,39.3102158380928,41.4671357775877,22.6609305610612,22.338020477063,34.8841531648922,94.4858968909654,16.2092029719333,27.6698913924026,21.1076683171102,24.3531750212378,36.565164015152,47.912414055363,28.3578724062492,25.2638601867139,46.8644802486601
2007,22.8253177285743,40.1542845215112,27.0709310375342,42.0165620135572,23.4311750727081,31.9999986368881,60.4603094466015,26.237049055803,23.4655715983662,40.2275300057983,24.1808372457786,41.0701412648286,80.101234674803,,34.828141783029,45.462495885091,,26.6038745775238,26.2608870053629,40.8292316808483,47.5700762475164,35.1242261051223,31.975797511236,111.800188814119,29.2998376046984,38.9065282147453,32.497635094203,45.5408938796247,65.0089533758341,39.9218729706872,37.7995423150753,55.1241027322248,22.4362642994778,22.3031493144566,38.7169161277572,88.0847364723994,16.0202974113206,29.166174743045,17.5028020373943,28.2277691926899,36.9825187538032,52.9811789950767,30.0523481249298,32.1802654858934,46.3875311295925
2008,25.3813104447207,48.8896796542348,25.6346390032369,52.0613173469939,25.2359899277654,36.6999993197774,56.6259345179522,29.9160516866697,23.4338571075068,37.5951610058097,27.9971791255289,44.7444923881499,59.7055681307939,,38.6376326074819,39.4636564211627,,26.7991605832374,24.6138992810955,44.4847683116359,42.5437812808514,33.3723135538085,34.9045410940864,108.208107689634,29.1264515156085,46.6501545609236,38.3318260606405,52.517360521974,64.4187944584773,45.3622482341162,37.6351509380515,65.9910625505728,26.5307344572361,26.3317559477341,41.9154685560613,110.707558115675,16.7837886659866,33.7198501285556,16.4756662014213,29.5619331960008,36.8124312325874,58.6908302757937,31.9781258608383,30.5355294153308,68.0547884699124
2009,31.6987484527475,63.6888438415367,24.7746622235924,52.647126774976,26.507012812169,29.2000032854075,51.4231265048494,22.5936920745664,21.6525965878002,41.971111486519,28.5849836533764,36.1330915522039,71.0724535755305,,31.596622529265,47.8698671729483,,31.3328452395852,26.0312868996824,42.3028725496475,47.2995570961134,32.4674393680016,27.1702463211792,114.131408607847,44.3840389580403,42.0358677602225,28.8058792394168,44.7628692989027,56.7525603586559,36.6537784764176,39.9151512988254,72.199669481011,34.5344060822655,26.4381451961885,32.9134243244516,116.546916772014,18.1160172253816,24.6047888395564,18.226680340458,25.3383348142052,36.1832134861022,47.9770677537442,28.4503117666136,26.8703832861816,42.3009397480081
2010,28.5029863779305,42.5805194236924,28.3588118822374,52.4946705729499,28.5573896844031,29.800003758426,55.2646272040987,24.8696950986131,22.8046808823724,43.5451033857492,29.9112323303071,49.6364561390403,55.5366628695135,,26.5871042599039,58.9097918026514,,31.4941703485316,26.3447001496494,45.901097808525,43.2053669152547,30.8751719385669,30.2699277024041,107.976176556211,31.8052059029276,36.0005139915198,35.1481270629138,47.6813970207492,62.2194007604958,39.7530309299157,44.4691205308325,59.7905226950419,35.7615717045608,26.5361143612077,32.4766163687996,106.795741372303,22.0417351198619,24.6226695358778,15.2527036042897,28.0329106928814,38.8938063322252,52.1912811425565,24.4447661623689,27.9887692393406,53.4832952200791
2011,26.2320035517219,39.3125588161519,26.3673773087186,54.7250698634268,31.3017525842237,34.2000025536135,57.6821890855242,27.2923009809871,21.3477982341309,41.8038179616174,30.0445801391608,45.6825275253763,50.9800099707519,,24.6882065494858,39.2820339785109,31.5460822119553,28.7540052056817,25.780297578409,49.3588453047101,53.3524319845148,29.3193643906809,36.8527289037346,102.073761578789,24.8595388907261,33.7634539191156,31.1873798667489,48.3025199043706,65.0947989850203,44.8713872259271,53.0273116660187,56.6493658333056,34.9568397197938,27.0572319022891,36.2733297133058,112.114625869829,35.8144017939935,26.9382019655219,15.0336329952659,34.5318418555069,46.026747409032,54.0517255325681,26.899501619938,32.324209763403,54.6657252062331
2012,26.374847332557,35.8599667074303,26.8399999121001,63.7602567886618,34.6405225638741,34.0092778720909,53.1864633269004,26.1592888833437,21.5093155924689,42.1075654679737,31.8645496987023,37.5487023777005,39.3624073254876,,24.3148026512211,44.7704306482886,31.630605984481,31.3924675039244,27.8589908793607,52.808816954646,53.5369373306752,30.0112889962536,31.7587443003647,108.412641683934,31.3564620676424,30.8710219781769,31.2642545447676,62.5267675338065,65.7079545065651,46.1250057504935,75.9171489083132,60.1550707623781,28.9853874011265,28.5465848466622,39.5009295824637,119.131027950258,33.5583507091656,28.4434679995666,14.9997218879992,31.9968373970068,42.529131503989,55.6378761572116,28.010408369725,35.2847988550563,48.9992810278751
