Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Djibouti,"Egypt, Arab Rep.",Equatorial Guinea,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Libya,Madagascar,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Rwanda,Senegal,Seychelles,Sierra Leone,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2000,11.3901709959549,3.3416761142429525,0.941345994062243,2.3207103375279297,0.7800349551691951,0.14132127048440998,0.326304704517028,2.43782940570942,0.231830682465004,0.481549082910399,0.0945300561844999,2.97101449275362,1.40778762331474,0.07095765900508244,22.7799794510495,0.07456446852053783,11.702228553948322,1.6597814135788,0.239267448021036,3.35077635391682,0.867392056817932,0.155147246677574,4.0303242318906,1.2963500572702826,5.25195728147758,1.0951620377215299,0.97563115825155,0.5947738757868479,2.85480997432414,12.5798000846979,2.17271812940002,1.7413178683967399,0.45671410418416103,0.457371919715922,1.8590326754383901,0.503612558820137,0.250500328613252,33.1070164851348,1.64489000379197,1.76190547750664,0.603640477414688,9.21409253634867,1.36856040224846,1.31292038430728,2.402207
2001,12.125335043294202,3.2752118024983545,1.04078897938309,2.1336711634595598,0.7214733252853109,0.138400674414404,0.351111187780303,2.8819772194449,0.210529062930841,0.849538448778265,0.101899101193237,0.971,1.49099186198556,0.10817538773381274,21.590296495956903,0.2548037805872234,11.701299522539799,1.47500055000856,0.17259826158441202,3.44471991679522,0.849347059645204,0.15474569633850602,4.28736407168251,1.2549695790370843,5.67377996377243,1.14013972303488,1.17536305429078,0.613989584991416,2.85084501637495,12.3149039257364,1.7897160938986498,1.6907387822372402,0.47891603612683703,0.431274064604793,2.08379886977607,0.64465948344886,0.30079890570750395,30.8973641046692,1.6868100413564502,1.9251511097126601,0.646569239534729,10.3125501750523,1.39073459868552,1.6197029855148302,2.2324
2002,14.427027969965598,7.37021535413328,1.00839597311008,2.15805133923492,0.813114613713427,0.140218229171942,0.425325210047333,3.16584831006235,0.20066649240926202,2.26981400774127,0.114673706091655,1.19098474449209,1.63666419467017,0.14103310792610646,19.3033707865169,0.4048526747435729,11.669230892289205,1.71535723074803,0.187843014987831,3.38357720745517,0.8546850935454791,0.131725861124456,3.9804378567070597,1.221420419791203,6.98267716535433,1.51806998383502,1.1623470907237001,0.568870240532493,2.8183198718376596,13.3537977497505,3.08483222180022,1.6158512864410801,0.5262678557807,0.421290133775043,2.3490658914595,0.595567581436097,0.37394537206576,32.3162106063261,2.5783703207449298,1.86759742784849,0.727191364191763,10.3112891098399,1.54862699746546,1.58455490901072,2.218
2003,16.2396331286366,8.83151947179368,1.22882800190253,2.7798250873755004,1.00256839043117,0.164737396316344,0.548170327495846,3.3228286436643,0.20556221610130102,1.6112927171365,0.14722603700925802,2.6840330007049897,2.66456079717105,0.19535381278404707,19.576923076923098,0.6992176464095137,11.734366726186641,1.84763365374897,0.183930191498868,4.320740016890411,0.868,0.14450296887505099,4.478129486208689,1.4781291513213284,8.7453125,1.2959394195623701,1.54898754542842,0.742377025434361,3.14741424960508,16.048236121325,3.11772829310175,2.5875152500102803,0.682501736091514,0.460447380755317,2.8588832332565,0.610557820378294,0.443238865184294,42.9670568051894,3.0298243872982003,2.33583240526377,0.960946955988041,11.7795845887099,1.66486887621792,1.7955000252468098,2.179631
2004,21.108011867789102,10.6454332089363,1.3240633499387,3.70696158025954,1.3410802877574401,0.22536719622857498,0.643415991979531,4.00813275345177,0.24487898115415999,2.24502971843305,0.1706002498223,2.73984124691439,2.36753182197942,0.2726952836391754,23.3116883116883,1.5354266182845477,11.861413328014974,2.07685380826088,0.28221700219743,5.361446367128219,0.9385387231003619,0.176158114270051,5.29001336300645,1.7155959083357137,10.7228076153846,1.48488213169503,1.7254207828499701,1.22730858204596,3.6279410995145702,19.9680804626333,3.62553092169939,2.78011758453536,0.8538288628497781,0.548213702681968,3.4822999756634303,0.684576309090909,0.42177633205512705,58.5441134741233,4.29851941606405,2.92849061047698,1.0946013127685799,13.947699939059,1.8072818658993102,2.31880017786613,2.4133762
2005,24.0524945661837,15.1819874500371,1.3537441646990098,3.52932554185315,1.4954275361584,0.322845665250624,0.647187055539873,4.43892546148196,0.290432567306666,2.51805757360742,0.176022496568741,3.51401956790736,2.9624300145998803,0.3474608800336487,29.2179700499168,3.5833554275604502,12.052717132308983,2.29420732772711,0.309496622500873,6.6317944253758006,1.03123739789913,0.206144981146558,6.73999027637266,1.8305673399331266,12.8485506177463,2.0396527471545602,1.94525506274426,1.80511919427711,4.16717619500768,23.0642138619615,3.91469084663196,2.91905130484512,1.04920478994849,0.690285354698788,3.86379708992876,0.919168709090909,0.483591086341721,68.8313293480066,7.533593042530191,3.6746445886155,1.16863979035644,14.625418037000799,2.29267458430268,2.63200194914305,2.4456821
2006,24.8029030725546,16.320510961119,1.52758198681391,3.4550023154897698,1.58118085976353,0.446954652535404,0.8050326874061751,4.79380622074195,0.32277666318531,3.59020133363481,0.18802548835666,3.79552622371938,3.8857358882424697,0.45328325906580424,33.913043478260896,3.6520427523871697,12.29541028176709,2.89974099183975,0.309274034431678,8.32537408193796,1.92272484913814,0.24364796022400298,8.32912684020927,1.9096861684892403,15.5636691403288,2.21393504904555,2.24772473593729,1.5844655174981401,4.82309438793604,26.5921434770157,3.7383368754162998,3.3181087910626403,1.07783572063488,0.741574150056651,4.08071971699321,1.02180949589216,0.47217183242294103,84.077365459513,9.5541394489515,4.53452704465491,1.21429535524794,16.470689881858,2.82944859908158,3.22287499653077,2.5512538
2007,32.522138069975895,26.2072621745562,2.21143745414108,4.44000382810973,1.7867964684427,0.43398378548887,0.997366407878273,6.2780668043115195,0.398870436453455,3.47973675623914,0.192400430103143,6.87393903858308,7.03505389062456,0.592139300598004,45.4290718038529,5.94272960280161,12.668482042106636,3.31362154473204,0.336061371182659,10.1368118170443,2.98831329007687,0.264542674362946,10.2188877797188,1.88062651118856,19.933552186085603,3.31663403160353,2.6506594756869997,1.97930395638723,5.29832734957553,34.7112354929908,4.0866808878412195,4.87271516808252,1.28593113450482,0.907851453593074,5.418129805681599,0.948944629655607,0.532971814821589,97.1458540473063,10.4036899955359,6.17071308649057,1.39052974032222,20.617813288714,3.57700011779664,4.5235663960025,2.454805
2008,45.783784537059404,43.2862697301256,2.50905041239671,5.5866110002581,2.38516330831458,0.5915437485717661,1.10965350511556,8.29127621560017,0.467132356160478,3.9075785387652,0.256358720636412,8.85427085195284,6.955613710358381,0.8577232257068217,62.9090909090909,7.79403012871889,13.288698318043496,4.1729906477744,0.384411745488873,12.7579571879974,2.96282550004959,0.31792719992149104,12.529038544104601,1.91193198634149,25.255769629981998,5.003293324956919,3.77123956363044,2.73428339142026,6.4356673313221,46.1891598094273,4.86258982375857,5.68013550350944,1.93610693771214,1.36394653073144,7.0644287227767295,1.08448835458706,0.643759632267488,106.59898661493601,10.6816823855364,8.26191629139285,1.68558588159412,26.3283777356831,4.61777060821011,5.46917550791574,3.0050972
2009,47.648700297217694,44.7778403854964,2.41271182480475,5.327078064977609,2.5050974310563596,0.5201849593669801,0.952528351885412,6.31108930073215,0.44764181190771196,3.89942194067213,0.258791626225248,6.73823352760482,6.91058781827787,0.9455658823908015,59.764065335753195,7.1937855884425295,13.741303701113518,3.79556658184437,0.377490756862212,11.019356824751,3.17706647625864,0.289014701572809,11.505843417106199,1.98690794571516,26.9892958627369,4.04253871121138,2.94740672994698,2.11038824301168,5.18085219557069,37.0771121122985,4.8951521605622395,6.4538181259254594,2.53901488220472,1.50022646020554,5.31415787947347,0.991699603378119,0.685540147386765,81.1352903120889,9.40880269230769,7.44961576430972,1.70853186500973,20.848790061283797,7.14893902382281,4.11878432849131,4.0887214
